timestamp,ch1
1701530513.4090002,-8632.042542939489
1701530513.413,-8665.57015962245
1701530513.417,-8686.312578476975
1701530513.421,-8664.743145077604
1701530513.4250002,-8663.267929943553
1701530513.4290001,-8654.081362972423
1701530513.433,-8664.273758444042
1701530513.437,-8709.781910155049
1701530513.441,-8765.884788737869
1701530513.4450002,-8802.943981044767
1701530513.4490001,-8789.801155305047
1701530513.453,-8755.982965944168
1701530513.457,-8738.794474458036
1701530513.461,-8737.654535490816
1701530513.465,-8725.226965573665
1701530513.469,-8710.653628188806
1701530513.473,-8694.515668692073
1701530513.477,-8691.744052379616
1701530513.481,-8703.121090307366
1701530513.4850001,-8729.563203997994
1701530513.489,-8738.190977357743
1701530513.493,-8780.033442978078
1701530513.497,-8831.308344758552
1701530513.501,-8873.62019701245
1701530513.505,-8919.441273145829
1701530513.509,-8952.387744472951
1701530513.513,-8960.72494515478
1701530513.517,-8967.162247557908
1701530513.521,-8977.600512218538
1701530513.525,-8986.518858256204
1701530513.529,-8964.614148690003
1701530513.533,-8943.514101924195
1701530513.537,-8934.349886697519
1701530513.541,-8930.594793629027
1701530513.5449998,-8914.747406810213
1701530513.549,-8867.22759809823
1701530513.553,-8817.919649829824
1701530513.557,-8797.31134144203
1701530513.5609999,-8778.513524355118
1701530513.565,-8736.134616867856
1701530513.569,-8675.069651015956
1701530513.573,-8636.132912174811
1701530513.577,-8575.98436784558
1701530513.5809999,-8518.74155029554
1701530513.585,-8478.039023642425
1701530513.589,-8411.47552865452
1701530513.593,-8351.32698432529
1701530513.597,-8325.22014680149
1701530513.6009998,-8326.158920068612
1701530513.605,-8326.762417168906
1701530513.609,-8306.824661114772
1701530513.613,-8298.800384855316
1701530513.617,-8301.21437325649
1701530513.621,-8354.746801226951
1701530513.625,-8431.301525986377
1701530513.6290002,-8498.468518074575
1701530513.6330001,-8529.1127597228
1701530513.637,-8547.441190176152
1701530513.641,-8601.46535652463
1701530513.6450002,-8650.527435604028
1701530513.6490002,-8674.801430082493
1701530513.653,-8713.514651479085
1701530513.657,-8750.39502983034
1701530513.661,-8777.172419687799
1701530513.6650002,-8786.917780270313
1701530513.6690001,-8796.886658297379
1701530513.673,-8774.0208237196
1701530513.677,-8749.322146096487
1701530513.681,-8730.099645864922
1701530513.6850002,-8694.850944858903
1701530513.6890001,-8647.845226269392
1701530513.693,-8619.771435233526
1701530513.697,-8566.998966574547
1701530513.701,-8554.414934446208
1701530513.705,-8557.566530414406
1701530513.709,-8557.119495525301
1701530513.713,-8574.017414333513
1701530513.717,-8549.609309388317
1701530513.721,-8547.664707620706
1701530513.7250001,-8568.652995664239
1701530513.729,-8554.750210613038
1701530513.733,-8590.378891274797
1701530513.737,-8645.76651403505
1701530513.741,-8688.81597385597
1701530513.7450001,-8717.403855014307
1701530513.749,-8716.643895702828
1701530513.753,-8706.987942098134
1701530513.757,-8704.395139741318
1701530513.761,-8722.947087639224
1701530513.765,-8769.394012617351
1701530513.769,-8779.631111577883
1701530513.773,-8799.099480998455
1701530513.777,-8787.677739581794
1701530513.781,-8790.941094272268
1701530513.7849998,-8777.887675510368
1701530513.789,-8713.693465434726
1701530513.793,-8647.956984991668
1701530513.797,-8624.845281224882
1701530513.8009999,-8633.115426673345
1701530513.805,-8621.738388745593
1701530513.809,-8579.560646958429
1701530513.813,-8572.117516054812
1701530513.817,-8603.007626892046
1701530513.8209999,-8691.609941912882
1701530513.825,-8745.745866983636
1701530513.829,-8738.392143057841
1701530513.833,-8699.924790850257
1701530513.837,-8625.247612625077
1701530513.8409998,-8557.521826925496
1701530513.845,-8544.423704674686
1701530513.849,-8523.323657908877
1701530513.853,-8563.26622525051
1701530513.857,-8636.177615663722
1701530513.861,-8732.066599376989
1701530513.865,-8872.100278389487
1701530513.8690002,-9045.8850915295
1701530513.8730001,-9217.546488946258
1701530513.877,-9433.285526428883
1701530513.881,-9632.886604414774
1701530513.8850002,-9736.106960309382
1701530513.8890002,-9737.805692887985
1701530513.8930001,-9738.811521388474
1701530513.897,-9705.283904705513
1701530513.901,-9713.822271087442
1701530513.9050002,-9746.07583833645
1701530513.9090002,-9802.603400063921
1701530513.913,-9833.784083579074
1701530513.917,-9893.306779063556
1701530513.921,-9967.961605544282
1701530513.9250002,-10020.331742803066
1701530513.9290001,-9999.969303604283
1701530513.933,-9887.271808060625
1701530513.937,-9731.368390484857
1701530513.941,-9650.656241256744
1701530513.945,-9622.917726387706
1701530513.9490001,-9627.164557834216
1701530513.953,-9653.24904361356
1701530513.957,-9668.649395543265
1701530513.961,-9671.845695000375
1701530513.9650002,-9566.971310016073
1701530513.969,-9346.89603410912
1701530513.973,-9076.574036666636
1701530513.977,-8810.74473985967
1701530513.981,-8576.36434750132
1701530513.9850001,-8395.941066258081
1701530513.989,-8272.15710546459
1701530513.993,-8171.104868782148
1701530513.997,-8105.971885439383
1701530514.001,-8115.829004744173
1701530514.005,-8197.681092939507
1701530514.009,-8295.134698764647
1701530514.013,-8403.115976228235
1701530514.017,-8520.0603032184
1701530514.021,-8616.619839265328
1701530514.0249999,-8644.939499490201
1701530514.029,-8624.554708546963
1701530514.033,-8565.83667586287
1701530514.037,-8503.363550110287
1701530514.041,-8476.094421874812
1701530514.045,-8469.053622371392
1701530514.049,-8452.714497174562
1701530514.053,-8488.20906736959
1701530514.057,-8552.068001278401
1701530514.0609999,-8635.887042985803
1701530514.065,-8701.042378073023
1701530514.069,-8734.458236033706
1701530514.073,-8733.094779621933
1701530514.077,-8727.238622574643
1701530514.0809999,-8661.435086898218
1701530514.085,-8575.537332956474
1701530514.089,-8476.541456763918
1701530514.093,-8400.813746549338
1701530514.097,-8348.734181968473
1701530514.1009998,-8343.481522021475
1701530514.1049998,-8373.790487502873
1701530514.109,-8421.042075281392
1701530514.113,-8487.940846436126
1701530514.1169999,-8595.676254710705
1701530514.1209998,-8679.361185951375
1701530514.125,-8769.796344017548
1701530514.129,-8814.70099862826
1701530514.133,-8810.007132292645
1701530514.1369998,-8734.63704998935
1701530514.1409998,-8592.926990142703
